English;German;French
to some extent;in gewisser Weise;d'une certaine manière
to be honest;um ehrlich zu sein;TBH
bear in mind;Beachten Sie;Veuillez noter que
emphasize;hervorheben;souligner
concede;Zugeständnisse machen;concéder
consists of;besteht aus;est composé de
assess;bewerten;taux
our main objective;unser Hauptziel;notre objectif principal
weigh up;abwägen;Peser
admit;zugeben;admettre
is composed of;besteht aus;est composé de
to a certain degree;bis zu einem gewissen Grad;dans une certaine mesure
quite frankly;ganz offen gesagt;très franchement
my heartfelt gratitude;mein aufrichtiger Dank;mes sincères remerciements
to slide;zum Rutschen;coulissant
to plummet;zu stürzen;topple
to level out;zum Ausgleichen;en compensation
to rose;zu erhöhen.;à augmenter.
shareholders;Aktionäre;Actionnaires
subsidy;Zuschuss;Subvention
loan;Ausleihe;Prêts
salary;Gehalt;Salaire
entrepreneur;Unternehmer;Entrepreneur
equities;Aktien;Actions
wrecked;vernichtet;Détruit
bored;gelangweilt;s'ennuyer
deprecated;veraltet;obsolète
